question,Subject,answer1,answer2,answer3,answer4,Correct_answer
В каком итальянском городе была выведена известная порода комнатных собак?,География,Сиракуза,Болонья,Падуя,,Болонья
Какая рыба является самым крупным пресноводным хищником?,Природа и животный мир,Судак,Cом,Щука,,Cом
Президент какой республики в 1996 году был избран президентом ФИДЕ?,История,Абхазии,Калмыкии,Башкирии,,Калмыкии
Как звали младшего сына легендарного комдива Василия Ивановича Чапаева?,История,Иван,Аркадий,Евгений,Семён,Аркадий
Чему равна сумма чисел от 0 до 100 включительно?,Разное,3525,5050,1000,7550,5050
Какой буквой физики обозначают ускорение свободного падения?,Наука,f,g,n,m,g
Кто из этих российских императоров и императриц правил раньше остальных?,История,Анна Иоановна,"Елизавета Петровна, Петр III, Екатерина II",Петр III,Екатерина II,Анна Иоановна
Как называл народ медную монету в 3 копейки после 40 годов XIX века?,История,Гривенный,Гривенник,Гривна,Грош,Гривенный
На борту какого линкора ВМФ США был подписан акт о капитуляции Японии во второй мировой войне?,История," ""Айова""","""Висконсин""","""Миссури"""," ""Нью-Джерси""","""Миссури"""
"Из произведений какого писателя физики заимствовали слово ""кварк""? ",Литература,Уильям Теккерей,Льюис Кэррол,Джеймс Джойс,Уильям Фолкнер,Джеймс Джойс
Какой европейский город раньше носил название Лютеция?,География,Милан,Тулуза,Париж,Лондон,Париж
"Сенатором какого штата был Ал Гор до того, как стал вице-президентом США? ",История,Алабама,Арканзас,Теннесси,Миссисипи,Теннесси
В какие годы строился Колизей?,История,580-605,260-300,72-80,1085-1124,72-80
Изобретатель тачки?,История,Архимед,Пифагор,Паскаль,Эдисон,Паскаль
"Назовите греческого атлета, выигравшего марафон на Первой Олимпиаде нашего времени. ",История,Клиридис,Костакис,Луис,Лумидис,Луис
Что из перечисленного является единственным колониальным владением Британии в Европе?,География,Андорра,Монако,Гибралтар,Люксембург,Гибралтар
Облик какой женщины дошёл до наших дней благодаря скульптору Тутмесу?,История,Далилы,Клеопатры,Нефертити,Семирамды,Нефертити
"Кто из этих известных актеров и режиссеров, народных артистов СССР, стал министром культуры своей страны? ",Искусство,Вия Артмане,Донатас Банионис,Богдан Ступка,Роберт Стуруа,Богдан Ступка
Кто из этих людей не был писателем ? A: Во B: Ге C: Ле D: По,Литература,По,Во,Ге,Ле,Ге
Кто стал самым молодым маршалом Советского Союза в истории СССР?,История,В.К.Блюхер,Г.К.Жуков,М.Н.Тухачевский,К.К.Рокоссовскийий,М.Н.Тухачевский
Какой из этих городов до воссоединения Германии был в составе ГДР? A: Трир B: ВейБрауншвейгмар C: D: Ганновер,История,Трир,Ганновер,Веймар,Ганновер,Веймар
Как назывался первый атомный ледокол СССР?,История,Свердлов,Сталин,Ленин,Киров,Ленин
В какой стране на население наводили ужас тонтон-макуты?,Разное,Парагвай,Куба,Гаити,Гватемала,Гаити
Как называлась столица государства ацтеков?,История,Кетцалькоатль,Монтесума,Теночтитлан,Мехико,Теночтитлан
Назовите административный центр (столицу) штата Флорида,География,Джуно,Майами,Таллахасси,Сакраменто,Таллахасси
Какое российское флотское звание было у Витуса Беринга?,История,Вице-адмирал,Контр-адмирал,Капитан-командор,Капитан 1 ранга,Капитан-командор
Что означает количество пятнышек у божьей коровки?,Природа и животный мир,Пол,Возраст,Вид,Дату рождения,Вид
Какая пара этих знаменитых писателей состоит из родных братьев?,Литература,Ян и Пабло Неруды,Ирвин и Бернард Шоу,Генрих и Томас Манны,Грэм и Александр Грины,Генрих и Томас Манны
Кому и в какой глаз впился князь Гвидон в образе комара?,Литература,Поварихе в левый,Ткачихе в левый,Поварихе в правыйихе в правый,ткачихе в правый,Поварихе в правыйихе в правый
"Игроков какой команды называют ""армейцами"" ",Спорт,Спартак,Динамо,"""ЦСКА""",Локомотив,"""ЦСКА"""
К какому семейству рыб принадлежит пескарь?,Природа и животный мир,Бычковые,Щуковые,Карповые,Колюшковые,Карповые
Кто из этих астрономов 1 ноября 1977 года открыл Хирон - малую планету Солнечной системы?,Наука,Карл Сейферт,Дирк Брауэр,Чарльз Коуэл,Жан Пикар,Чарльз Коуэл
Кто из этих русских писателей прожил самую долгую жизнь?,Литература,М. М. Пришвин,Л. Н. Толстой,И. А. Бунин,П. П. Бажов,И. А. Бунин
"При введении в России табели о рангах право на личное дворянство имели даже чиновники низшего, 14-го класса. А с какого класса это право сохранилось после 1845 г.? ",История,10,8,9,11,9
Какой советский орден был инкрустирован бриллиантами?,История,Орден Красного Знамени,Орден Ленина,Орден Победы,Орден Красной Звезды,Орден Победы
Под каким названием всему миру была известна разведслужба бывшей ГДР?,История,АНБ,МИ-6,ШТАЗИ,МОССАД,ШТАЗИ
Сказочный Доктор?,Литература,Фельдшер,Окулист,Айболит,Медик,Айболит
Куда отправляет Военкомат?,Разное,Отдыхать,Отбывать,Служить,Работать,Служить
Сколько циферблатов у курантов Спасской башни?,Разное,6,2,4,8,4
"Какая из этих пород уток является яичной, а не мясной?",Разное,Серые украинские,Пекинские,Индийские бегуны,Черные белогрудые,Индийские бегуны
В каком году советские войска одержали победу в Курской битве?,История,1942,1939,1943,1952,1943
Кто изображен на правом плече Марадоны?,История,Ким Чен Ир,Фидель Кастро,Че Гевара,Пеле,Че Гевара
Что не является знаком препинания?,Разное,Вопросительный знак,Запятая,Твердый знак,Восклицательный знак,Твердый знак
Растворитель для акварельных красок?,Разное,Бензин,Спирт,Вода,,Вода
Что такое сруб?,Разное,Срубленное дерево,Место где срублено,Деревянное строение,,Деревянное строение
Что не является кисломолочным продуктом?,Разное,Сметана,Сыр,Майонез,Творог,Майонез
Что такое дельта реки?,География,Исток,Русло,Устье,,Устье
Машинка для выравнивания грунта,Разное,грейдер,каток,скрепер,,скрепер
Сообразительность?,Разное,сметка,сметка,сметка,сметка,сметка
Какой из этих цветов не относится к тёплым?,Разное,Коричневый,Оранжевый,Синий,Красный,Синий
Цветы какого из этих растений не голубого цвета?,Природа и животный мир,Колокольчик,Василек,Лютик,Незабудка,Лютик
"Что означает слово ""бедуин"" на арбском языке? ",Разное,Путешественники,Искатели воды,Обитатели пустыни,Корабли пустыни,Обитатели пустыни
"На какой вопрос никогда нельзя правда ответить ""Да""? ",Разное,Мёртв,Глухонемой,Спишь,,Спишь
Небольшие скалистые острова у невысоких берегов морей,География,ледники,риф,шхерыы,атоллы,шхерыы
Кто стал президентом российской федерации в 2012 году?,История,Прохоров,Медведев,Путин,Шабельский,Путин
BanTis,Разное,прозвище,человек,фирма,фамилия,фирма
"Какое воинское звание было у Хозе в опере ""Кармен"" ",Искусство,Лейтенант,Майор,Сержант,Солдат,Сержант
"Где Николай Чернышевский написал свой роман ""Что делать?"" ",Литература,В ссылке,Дома,В тюрме,На каторге,В тюрме
Ворот пиджака портной начинает отмерять с...,Разное,3,1,7 позвонка,4,7 позвонка
Год основания группы Rammstein,Искусство,2008,1995,1994,1973,1994
Фамилия вокалиста Linkin Park,Искусство,Шинода,Бенингтон,Беннинтгон,Дёрст,Беннинтгон
Сколько атомов кислорода содержится в молекуле озона?,Наука,2,4,3,6,3
Сколько горошин войдут в стакан ?,Разное,ни сколько,столько скоко влязят,горшины не ходят,смотря скоко горошины,горшины не ходят
Много людей сопровождают в последний путь своего родственника/знакомого. Как это называется?,Разное,смерть,упокоение,похороны,погребение,похороны
Какому коню в зубы не смотрят?,Разное,Горем убитому,Жареному,Дарёному,С кариесом,Дарёному
Уровень материнской смертности определяется как число погибших матерей на:,Наука,1000 живорожденных,100 000 беременностей,100 000 живорожденных,1000 беременностей,100 000 живорожденных
В каком году родилась Селена Гомес?,Искусство,В 1993 году.,В 1989 году.,В 1992 году.,В 1999 году.,В 1992 году.
На какой реке стоит город Саратов?,География,Дон,Кама,Волга,Обь,Волга
"За что тянул себя барон Мюнхгаузен, чтобы выбраться из тресины? ",Литература,за язык,за ухо,за волосы,за голову,за волосы
Сколько родных братьев и сестёр было у Рона?,Фильмы,4,5,6,3,6
В какой из этих столиц союзных республик раньше всего появилось метро?,География,Баку,Ереван,Тбилиси,Минск,Тбилиси
В форме какого животного обычно делают копилки для монет?,Разное,Броненосец,Корова,Свинья,Свинья,Свинья
На окошке сидит кошка всё как у кошки но не кошка.,Разное,котёнок,тигр,кот,дикая кошка,кот
В каком образе бог Вишну не появлялся на земле?,История,Рыбы,Черепахи,Слона,Вепря,Слона
"Как заканчивается выражение ""Врет как...""? ",Разное,Розовый слон,Зеленый змий,Сивый мерин,Серый заяц,Сивый мерин
Какое устройство применяли во время инквизиции?,История,японские гета,португальский башмак,испанский сапог,русский валенок,испанский сапог
Какой из этих регионов - не на территории Италии?,География,Ломбардия,Тоскана,Савойя,Умбрия,Савойя
Как по-научному называется питьевой спирт?,Наука,Политура,Метанол,Этанол,Микстура,Этанол
Какая из этих премий впоследствии была переименована в Государственную премию СССР?,История,Ленинская,Ломоносовская,Сталинская,Нобелевская,Сталинская
В какой области науки проявились выдающиеся способности Софьи Ковалевской?,Наука,Биология,Химия,Математика,Философия,Математика
Какую из этих опер написал Моцарт?,Искусство," ""Сельская честь""","""Сицилийская вечерня""","""Свадьба Фигаро"""," ""Севильский цирюльник""","""Свадьба Фигаро"""
"Какое из этих прозаических произведений, А.С.Пушкин написал от женского имени? ",Литература," ""Кирджали""","""Выстрел""","""Рославлев"""," ""Египетские ночи""","""Рославлев"""
Из какого меxа сделаны шапки королевскиx гвардейцев Великобритании?,Разное,Овечий,Волчий,Медвежий,Соболиный,Медвежий
"Назовите вслед за Н. В. Гоголем вторую беду России, кроме дорог ? ",Литература,Пьяницы,Умники,Дураки,Олигархи,Дураки
Как иначе называют гевею?,Природа и животный мир,нейлоновое дерево,виниловое дерево,резиновое дерево,пластмассовое дерево,резиновое дерево
Что у моряков называется камбузом?,Разное,Мостик капитана,Машинное отделение,Кухня,Кладовая,Кухня
Как звали знаменитого мореплавателя Кука?,География,Джон,Томас,Джеймс,Джозеф,Джеймс
Как звали прославленного английского флотоводца Нельсона?,Разное,Герберт,Грегори,Горацио,Георг,Горацио
Чей бюст созерцает Аристотель на портрете Рембрандта?,Искусство,Аякса,Сократа,Гомера,Геракла,Гомера
"Какие цветы распускаются в парке ""Чаир""? ",География,Хризантемы,Астры,Розы,Ромашки,Розы
Из какого злака получают манную крупу?,Природа и животный мир,ячмень,рожь,пшеница,просо,пшеница
Какая террористическая организация похитила и убила премьер-министра Италии Альдо Моро?,История,Черный сентябрь,Коза ностра,Красные бригады,Черные пантеры,Красные бригады
"Футболист какого амплуа изобрёл «удар скорпиона», отбив мяч в прыжке пятками? ",Спорт,защитник,полузащитник,вратарь,нападающий,вратарь
Как называется группа из пяти фигурок - официальный талисман Олимпийских игр в Пекине?,Спорт," ""Братья фортуны""","""Сыновья победы""","""Дети удачи"""," ""Друзья спорта""","""Дети удачи"""
Главный герой какого романа Ф.М. Достоевского мечтал стать Ротшильдом?,Литература,Бесы,Идиот,Подросток,Братья Карамазовы,Подросток
Кто из этих великих российских архитекторов был ярким представителем стиля барокко?,Искусство,Баженов,Монферран,Растрелли,Казаков,Растрелли
Какой из этих химических элементов был открыт в России?,Наука,Тулий,Родий,Рутений,Самарий,Рутений
"Как называется надпись на лицевой или оборотной стороне монеты, медали? ",Разное,Поясниловка,Гурт,Легенда,Номинал,Легенда
Какое кодовое название было у первого термоядерного взрывного устройства?,Разное,Малыш,Тринити,Майк,Толстяк,Майк
Какой пистолет Остап Бендер обещал дать Кислярскому в романе «Двенадцать стульев»?,Литература,маузер,наган,парабеллум,браунинг,парабеллум
"Кто написал текст российского гимна «Боже, царя храни»? ",История,Пётр Вяземский,Гаврила Державин,Василий Жуковский,Фёдор Тютчев,Василий Жуковский
Кто добился упразднения ордена тамплиеров в 1312 году?,История,Филипп II Габсбург,Филипп II Август,Филлип IV,Филлип III,Филлип IV
"Какой чин имел Лукаш, у которого бравый солдат Швейк был денщиком? ",Литература,Капитан,Подпоручик,Поручик,Фельдкурат,Поручик
"Какая из этих команд собаке, означает ""смирно""? ",Разное,Апорт!,Куш!,Тубо!,Фас!,Тубо!
"Сколько фишек надо поставить подряд в линию, чтобы одержать победу в рэндзю? ",Разное,7,6,5,8,5
Какой крепёжный не имеет резьбы?,Разное,шуруп,болт,шплинт,гайка,шплинт
На чём рисуют специалисты по латте-арт?,Разное,На кофейной чашке,На кофейной этикетке,На кофейной пенке,На кофейном дереве,На кофейной пенке
Кому в пожизненное пользование была предоставлена скрипка работы Антонио Страдивари?,Искусство,М. Ростроповичу,Е. Мравинскому,В. Спивакову,И. Брилю,В. Спивакову
Что несколько лет назад обнаружил в Мёртвом море израильский учёный Соломон Вассер?,Наука,жемчуг,кораллы,грибы,осколок метеорита,грибы
Какой стране принадлежат Шантарские острова?,География,Филиппины,Индонезия,Россия,Въетнам,Россия
Назовите имя и отчество морганатического супруга императрицы Елизаветы Петровны графа Разумовского,История,Андрей Кириллович,Алексей Кириллович,Алексей Григорьевич,Кирилл Григорьевич,Алексей Григорьевич
"""Заморская провинция"" какой страны до самого последнего времени существовала на территории Китая? ",География,Нидерланды,Испания,Португалия,Франция,Португалия
Героя романа какого из этих писателей звали Ловеласом?,Литература,А. де Мюссе,Т. Готье,С. Ричардсон,Ж. Санд,С. Ричардсон
Какая олимпийская дистанция плавания самая длинная?,Спорт,2000 м,800 м,1500 м,1000 м,1500 м
Какое животное изображено на гербе Челябинска,История,Волк,Лиса,Верблюд,Медведь,Верблюд
Какая из этих археологических культур относится к мезолиту?,История,Халафская,Хассунская,Азильская,Перигорская,Азильская
Кто из великих художников Возрождения расписывал Сикстинскую капеллу Ватикана?,Искусство,Рафаэль,Леонардо,Микеланджело,Тициан,Микеланджело
Из скольких слогов традиционно состоит хайку?,Разное,21,7,17,100,17
Денежная единица Узбекистана,Разное,Сум,Сум,Сум,Сум,Сум
Ден.единица ЮАР,Разное,Рэнт,Рэнд,Рэнд,Рэнд,Рэнд
"Ден.единица(Норвегии,Швеции,Дании,Чехии,Эстонии в 2010 году) ",Разное,Крона,Крона,Крона,Разменная монета эре,Крона
Валюта Таджикистана,Разное,Сомони,Сомони,Сомони,Сомони,Сомони
"Как назывался первый пассажирский пароход, пересекший Атлантический океан без помощи парусов? ",Разное,Альдебаран,Вега,Сириус,Альтаир,Сириус
Как называется русский традиционный пирог?,Разное,Отлупи,Выпори,Расстегай,Забей,Расстегай
"История какого театра началась со спектакля ""Добрый человек из Сезуана""? ",Искусство," ""Современник""",Ленком,театр на Таганке," ""Табакерка""",театр на Таганке
"Назовите населенный пункт, куда Петр II сослал А. Д. Меньшикова ",История,Торжок,Тобольск,Березов,Кемь,Березов
Какое произведение Моцарта было завершено другим композитором?,Литература," ""Волшебная флейта""","""Дон Жуан""",Реквием," ""Свадьба Фигаро""",Реквием
"Их в России 19-го века, называли рыцарями зеленых полей ",История,Шулеры,Шулеры,Шулеры,Шулеры,Шулеры
"Кто из этих должностных лиц, заведовал при дворе Екатерины II винными погребами? ",История,Обер-Гофмейстер,Обер-Гофмаршал,Обер-Шенк,Обер-шталмейстер,Обер-Шенк
Известная кулинарная передача со строгим ведущим на рен тв.,Разное,Адская кухня,Адская кухня,Адская кухня,Адская кухня,Адская кухня
Какой актёр поменял своё настоящее имя Альберт на Олег?,Фильмы,Олег Даль,Олег Анофриев,Олег Борисов,Олег Анофриев,Олег Борисов
В какой стране зародилась игра кегли?,Спорт,Швейцария,Голландия,Германия,Австрия,Германия
Что из этих сооружений стало названием романа М. С. Шагинян?,Литература,Газоцентраль,Теплоцентраль,Гидроцентраль,Электроцентраль,Гидроцентраль
"Кто сыграл Мальволио в фильме ""Двенадцатая ночь""? ",Фильмы,Филиппов,Ильинский,Меркурьев,Яншин,Меркурьев
Какова масса ядра в соревнованиях женщин?,Спорт,3,5 кг,4 кг,5 кг,4 кг
Какое вино необходимо для приготовления классического крюшона?,Разное,Портвейн,Мадера,Белое столовое,Красное столовое,Белое столовое
Какому времени года соответствует 2-й месяц французского республиканского календаря брюмер?,Разное,Лето,Весна,Осень,Зима,Осень
С каким животным связана история основания города Ярославля?,История,Мышь,Скунс,Медведь,Белка,Медведь
Какие московские пруды одно время назывались Пионерскими?,История,Сарлетские,Борисовкие,Патриаршие,Чистые,Патриаршие
Сборная какой страны стала в 1991 году первым чемпионом мира по женскому футболу?,Спорт,России,Бразилии,США,Польши,США
Какую оперу поставил в Мариинском театре Андрон Кончаловский?,Искусство," ""Хованщина""","""Борис Годунов""","""Война и мир"""," ""Евгений Онегин""","""Война и мир"""
Какой математический символ ввёл в математику Лейбниц?,Наука,модуль,логарифм,интеграл,квадратный корень,интеграл
"Сколько стран одновременно победили на конкурсе ""Евровидение"" в 1969 году? ",Искусство,Три,Две,Четыре,Пять,Четыре
Кто такой речной сверчок?,Природа и животный мир,насекомое,рыба,птица,рептилия,птица
"Назовите фамилию режиссера фильма ""9 дней одного года"". ",Фильмы,Калатозов,Роом,Ромм,Баталов,Ромм
"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон? ",Спорт,Сейф,Комод,Тумба,Шкаф,Тумба
Кто из этих художников написал знаменитый портрет Ф.И. Шаляпина в шубе?,Искусство,Репин,Бродский,Кустодиев,Врубель,Кустодиев
В какиx войскаx служил Лев Толстой?,История,Пеxота,Флот,Артиллерия,Кавалерия,Артиллерия
На какой реке стоит Тверь?,География,Волга,Днепр,Урал,Тверь,Волга
Как по-другому называют койота?,Природа и животный мир,Луговой волк,Пустынный волк,Тропический волк,Лесной волк,Луговой волк
В каком клубе завершил свою карьеру легендарный хоккеист Уэйн Гретцки?,Спорт,"""Нью-Йорк Рейнджерс""","""Монреаль Канадиенс"""," ""Филодельфия Флаерс"," ""Уолл-стрит Всет""","""Нью-Йорк Рейнджерс"""
"Какая книга в русском переводе впервые вышла под названием ""Не любо, не слушай, а врать не мешай""? ",Литература,"""Приключения Мюнхгаузена""","""Гаргантюа и Пантагрюэль"""," ""Путешествие Гулливера"""," ""Робинзон Крузо""","""Приключения Мюнхгаузена"""
Какую рыбу совершенно справедливо можно назвать макрелью?,Природа и животный мир,скумбрию,ставриду,сёмгу,тунца,скумбрию
Какой из русских живописцев взял в качестве псевдонима своё детское прозвище?,Искусство,В.Г.Перов,И.Е.Репин,В.И.Суриков,А.К.Саврасов,В.Г.Перов
Как называется яркая звезда - альфа Южной Рыбы?,Природа и животный мир,Фомальгаут,Ригель,Ахернар,Бетельгейзе,Фомальгаут
